ablation,avg_RMSE,avg_MAE,avg_R2,avg_NASA_Score,num_features
A9_full_proposed,15.101784,9.63077725,0.67892075,187101.63752125,404.0
A8_rolling_plus_cycle,15.11174075,9.636826,0.6785625,186883.67415575002,317.0
A5_raw_plus_cycle,15.2728265,9.7811095,0.67154675,194793.61318375,23.0
A7_full_without_cycle,16.088910499999997,11.102613250000001,0.6352195,281404.92310575,402.0
A6_rolling_only,16.12869175,11.12679525,0.6334077499999999,288330.7655405,315.0
A2_raw_sensors_only,16.64683075,11.62188175,0.61099375,300304.48886349995,21.0
A4_raw_plus_operational,16.649565250000002,11.6214415,0.61086975,299546.37901275,24.0
A3_cycle_only,26.471114749999998,17.634211,-0.020197750000000014,771420.045926,2.0
A1_operational_only,33.6501295,31.52597825,-0.592526,1232231.9712725,3.0
