subset,model,target,feature,mean_abs_shap,category,rank
FD002,CatBoost,RUL_capped,cycle_sqrt,7.698258921583569,cycle_observable,1
FD002,CatBoost,RUL_capped,cycle_log1p,7.637245119604822,cycle_observable,2
FD002,CatBoost,RUL_capped,sensor_15_roll20_max,3.2927193951744873,rolling_max,3
FD002,CatBoost,RUL_capped,sensor_11_roll20_max,2.17451635178298,rolling_max,4
FD002,CatBoost,RUL_capped,sensor_13_roll20_max,2.013640462546185,rolling_max,5
FD002,CatBoost,RUL_capped,sensor_4_roll20_max,1.8475858369149325,rolling_max,6
FD002,CatBoost,RUL_capped,sensor_12_roll20_max,1.6822322565262495,rolling_max,7
FD002,CatBoost,RUL_capped,sensor_13_roll10_max,1.5547262754690154,rolling_max,8
FD002,CatBoost,RUL_capped,sensor_21_roll20_max,1.2404597364670056,rolling_max,9
FD002,CatBoost,RUL_capped,sensor_11_roll10_min,0.9552207527672774,rolling_min,10
FD002,CatBoost,RUL_capped,sensor_11_roll20_min,0.7324086501751228,rolling_min,11
FD002,CatBoost,RUL_capped,sensor_12_roll10_max,0.7228394052072129,rolling_max,12
FD002,CatBoost,RUL_capped,sensor_13_roll5_max,0.6643831224329355,rolling_max,13
FD002,CatBoost,RUL_capped,sensor_3_roll20_max,0.6573937310763304,rolling_max,14
FD002,CatBoost,RUL_capped,sensor_7_roll10_max,0.6334205152178726,rolling_max,15
FD002,CatBoost,RUL_capped,sensor_8_roll20_max,0.5942218366163737,rolling_max,16
FD002,CatBoost,RUL_capped,sensor_7_roll20_max,0.5197069731757791,rolling_max,17
FD002,CatBoost,RUL_capped,sensor_20_roll10_max,0.5147561675554895,rolling_max,18
FD002,CatBoost,RUL_capped,sensor_15_roll10_max,0.48937437837939257,rolling_max,19
FD002,CatBoost,RUL_capped,sensor_2_roll10_max,0.48182170466205126,rolling_max,20
FD002,CatBoost,RUL_capped,sensor_20_roll20_max,0.4697847594507904,rolling_max,21
FD002,CatBoost,RUL_capped,sensor_15_roll20_min,0.43513125079868953,rolling_min,22
FD002,CatBoost,RUL_capped,sensor_14_roll20_max,0.43375816574993215,rolling_max,23
FD002,CatBoost,RUL_capped,sensor_12_roll5_max,0.43148516108407764,rolling_max,24
FD002,CatBoost,RUL_capped,sensor_2_roll20_max,0.4216882757819994,rolling_max,25
