subset,model,RMSE,RMSE_boot_mean,RMSE_boot_std,RMSE_ci95_low,RMSE_ci95_high,MAE,MAE_boot_mean,MAE_boot_std,MAE_ci95_low,MAE_ci95_high
FD001,CatBoost,15.557864,15.555069410883412,0.13451899812685375,15.2913390420977,15.81567663730929,10.111204,10.106990392810399,0.09723851548040902,9.916743817628861,10.296531332779043
FD002,CatBoost,17.246507,17.244483814791828,0.09162102680409658,17.058151437940825,17.411562087137632,11.500961,11.499849751046034,0.06806509646485472,11.372669691353195,11.63083594092246
FD003,CatBoost,12.18859,12.186521387523426,0.10872888619717351,11.966382015595155,12.410956024524255,7.398374,7.398501829844032,0.0770141771465062,7.238951240229369,7.541466811280324
FD004,CatBoost,15.512693,15.511085364568757,0.09996612204638823,15.31143384116043,15.698289416922362,9.603424,9.602646572655832,0.06039319893148694,9.490982333353564,9.72463151320071
